Customer_id,Age,Gender,Income,Credit_score,Credit_score_category,Loan_amount,Interest_rate,Loan_term,Loan_type,Repayment_status,Debit_income,Transaction_id,Transaction_amt,Transaction_type,Transaction_data,Transaction_month,Transaction_year,Transaction_freq,Product_id,Product_names,Interaction_type,Interaction_date,Interaction_month,Interaction_year
C0124,66,Male,108296,627,Fair,225098,1.82,12,Education,1,2.078543990544434,6040c698-87a1-40d4-83bd-c50fc211f2de,1160,Deposit,2024-07-30,7,2024,4,P003,Credit Card,purchased,2024-06-03,6,2024
C0119,25,Male,88437,589,Fair,109731,10.8,60,Auto,0,1.2407815733233827,7ef3dc24-a1b5-4d2d-824b-efb3e690ce80,2137,Deposit,2023-06-17,6,2023,10,P015,Home Equity Line,purchased,2023-05-25,5,2023
C044,21,Male,93447,832,Excellent,261695,12.24,48,Auto,0,2.8004644343852667,09447cb7-c0b1-4dd3-b24d-e0e92d538450,642,Withdrawal,2024-11-28,11,2024,7,P028,Debt Consolidation Loan,purchased,2024-04-08,4,2024
C0148,55,Male,138441,845,Excellent,368030,5.67,48,Auto,0,2.658388772112308,2f0f9f41-3c97-4270-9d07-7111832fb28a,3753,Deposit,2023-11-07,11,2023,8,P035,Real Estate Investment,purchased,2024-12-15,12,2024
C0196,22,Female,184615,606,Fair,257577,5.96,12,Business,0,1.3952116566909514,c807032b-5678-4a3b-b7f8-35cb706f840f,3696,Deposit,2024-11-28,11,2024,6,P036,International Investment,viewed,2023-02-04,2,2023
C031,18,Female,186394,824,Excellent,356655,2.78,48,Personal,1,1.91344678476775,5e001775-b462-4487-a469-9acaf8b134bc,2568,Deposit,2023-07-15,7,2023,6,P002,Checking Account,clicked,2024-10-30,10,2024
C06,55,Female,27783,552,Poor,35381,6.28,24,Mortgage,0,1.2734765864017565,c2510ef8-1ccc-4e22-8259-f11648e645fe,777,Deposit,2023-12-04,12,2023,4,P027,Holiday Loan,clicked,2023-12-26,12,2023
C062,48,Female,131671,837,Excellent,451633,5.0,60,Education,0,3.430011164189533,0b568f65-6b4d-4952-91d0-b78626678c07,1898,Deposit,2023-03-28,3,2023,4,P036,International Investment,clicked,2023-04-06,4,2023
C084,66,Male,81412,833,Excellent,309551,12.45,12,Personal,0,3.8022773055569203,ba5d68ab-4be1-4578-87cd-3ccd01452959,3546,Deposit,2023-09-21,9,2023,6,P012,Mutual Fund,clicked,2023-11-23,11,2023
C03,29,Female,95045,813,Excellent,235901,9.19,12,Business,0,2.4819927402809197,2e9682af-3e40-4de7-addc-37e21bf2951a,1370,Withdrawal,2023-03-28,3,2023,7,P022,Short-Term Loan,viewed,2023-02-25,2,2023
C0136,30,Male,130735,382,Poor,143350,9.73,60,Mortgage,0,1.0964929054958503,d9eef1d1-cfcb-44e0-a99f-8084238870ef,536,Deposit,2023-07-19,7,2023,10,P029,Small Business Loan,viewed,2023-07-05,7,2023
C0139,43,Male,165941,454,Poor,105740,7.0,60,Mortgage,0,0.6372144316353403,ba624a53-e6e7-4782-add9-89208b001582,86,Deposit,2023-09-30,9,2023,2,P030,Agricultural Loan,viewed,2023-02-06,2,2023
C0171,39,Male,113634,482,Poor,107279,7.22,36,Mortgage,0,0.9440748367566045,4307fd0b-0a2a-46bc-b662-8bf083b90932,242,Withdrawal,2023-10-23,10,2023,4,P010,Retirement Plan,purchased,2024-02-25,2,2024
C0180,18,Male,45907,384,Poor,94299,2.15,12,Education,0,2.0541311782516827,2c125e88-252e-47e5-a1e5-9d4e4ccfe5fd,4582,Withdrawal,2024-10-31,10,2024,8,P029,Small Business Loan,clicked,2023-01-01,1,2023
C083,49,Male,188443,561,Poor,255000,12.05,60,Business,0,1.3531943346263857,79cd810a-13d2-48fa-9d26-bf02ae899ff2,3312,Withdrawal,2023-11-10,11,2023,10,P029,Small Business Loan,clicked,2023-05-16,5,2023
C0137,75,Male,43923,597,Fair,133241,8.73,36,Mortgage,0,3.033513193543246,be9d3e84-72ab-47db-9899-9d5bbfe14880,4383,Deposit,2024-09-04,9,2024,4,P019,Home Improvement Loan,purchased,2024-02-17,2,2024
C0199,47,Others,30594,330,Poor,10860,4.35,24,Auto,0,0.35497156305157873,0de11871-95c4-4f9f-9f92-f8e6732f4549,1703,Withdrawal,2024-05-21,5,2024,7,P016,Mortgage Refinance,viewed,2024-05-06,5,2024
C0160,24,Male,157401,306,Poor,128426,8.05,12,Business,0,0.8159160361115876,18e03e3a-6c7b-44ba-9a3a-e8ade5f174a2,2078,Withdrawal,2023-02-22,2,2023,5,P003,Credit Card,purchased,2024-09-24,9,2024
C0128,69,Female,162146,339,Poor,112934,4.69,24,Personal,0,0.6964957507431574,910d96bc-e456-4545-aa73-2e622ada4465,2061,Withdrawal,2024-10-10,10,2024,9,P007,Business Loan,purchased,2024-04-20,4,2024
C08,22,Female,186615,336,Poor,102238,5.69,48,Auto,0,0.5478552099241755,f7a841a7-8d2c-46b3-9762-84a035b3be5e,3798,Withdrawal,2023-12-06,12,2023,1,P047,Healthcare Savings,viewed,2024-04-25,4,2024
C0198,51,Male,61630,787,Excellent,201000,6.57,60,Business,0,3.2613986694791497,cd711ed7-2361-4980-9d0c-ca04a8a2061e,177,Deposit,2023-08-03,8,2023,5,P006,Auto Loan,purchased,2023-02-01,2,2023
C0133,73,Male,123469,585,Fair,203102,8.5,60,Personal,0,1.6449635131085536,f427cf33-b302-40dd-86fe-75b41fea84e5,215,Deposit,2024-10-22,10,2024,8,P030,Agricultural Loan,viewed,2024-01-03,1,2024
C028,38,Male,109000,384,Poor,102836,3.34,12,Mortgage,0,0.9434495412844036,4595c718-9925-4def-8091-70dcbf87e1c2,1860,Deposit,2023-03-26,3,2023,8,P027,Holiday Loan,purchased,2024-04-07,4,2024
C0200,54,Male,101282,469,Poor,121353,11.92,48,Personal,0,1.1981694674275785,060ca9f1-b52d-4e15-8fad-4af9e6b9cb03,3944,Withdrawal,2024-04-10,4,2024,1,P034,Stock Investment,purchased,2024-09-02,9,2024
C02,53,Male,165762,586,Fair,209809,6.0,60,Business,0,1.2657243517814698,433d6daa-33fe-4e1d-8814-ccb285141d13,2173,Deposit,2023-03-06,3,2023,4,P040,Gold Investment,purchased,2023-01-12,1,2023
C0160,37,Female,153706,679,Good,324824,7.79,48,Business,0,2.1132811991724463,45273494-d75f-4450-84e1-bacafbae1f7c,4729,Deposit,2023-11-07,11,2023,5,P004,Personal Loan,purchased,2024-06-07,6,2024
C096,61,Male,81933,734,Good,155496,7.4,24,Education,0,1.8978433598183881,e434898f-585f-4711-a849-44772152746a,4477,Withdrawal,2024-11-20,11,2024,9,P011,Insurance Policy,viewed,2024-02-17,2,2024
